id,dut,categories,test,description,inputs,result,messages
79,LEAF4,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,PASS,
80,LEAF4,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,PASS,
81,LEAF4,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet49 - Remote: SPINE1 Ethernet4,PASS,
82,LEAF4,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet50 - Remote: SPINE2 Ethernet4,PASS,
83,LEAF4,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet51 - Remote: LEAF3 Ethernet51,PASS,
84,LEAF4,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet52 - Remote: LEAF3 Ethernet52,PASS,
85,LEAF4,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,TEST PING TO INTERNET 8.8.8.8,PASS,
86,LEAF4,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
87,LEAF4,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
88,LEAF4,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
89,LEAF4,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
90,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet49 - SPINE1_Ethernet4 = 'up',PASS,
91,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet50 - SPINE2_Ethernet4 = 'up',PASS,
92,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet51 - MLAG_PEER_LEAF3_Ethernet51 = 'up',PASS,
93,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet52 - MLAG_PEER_LEAF3_Ethernet52 = 'up',PASS,
94,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel49 - SPINES_Po3 = 'up',PASS,
95,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel51 - MLAG_PEER_LEAF3_Po51 = 'up',PASS,
96,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan255 - Inband Management = 'up',PASS,
97,LEAF4,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',PASS,
98,LEAF4,MLAG,VerifyMlagConfigSanity,Verifies there are no MLAG config-sanity inconsistencies.,,PASS,
99,LEAF4,MLAG,VerifyMlagInterfaces,Verifies there are no inactive or active-partial MLAG ports.,,PASS,
100,LEAF4,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
101,LEAF4,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,PASS,
102,LEAF4,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,PASS,
103,LEAF4,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,PASS,
104,LEAF4,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
105,SPINE1,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,PASS,
106,SPINE1,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,PASS,
107,SPINE1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: LEAF1 Ethernet49,PASS,
108,SPINE1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet103/1 - Remote: SPINE2 Ethernet103/1,PASS,
109,SPINE1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet104/1 - Remote: SPINE2 Ethernet104/1,PASS,
110,SPINE1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: LEAF2 Ethernet49,PASS,
111,SPINE1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: LEAF3 Ethernet49,PASS,
112,SPINE1,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: LEAF4 Ethernet49,PASS,
113,SPINE1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
114,SPINE1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
115,SPINE1,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
116,SPINE1,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
117,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - LEAF1_Ethernet49 = 'up',PASS,
118,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet103/1 - MLAG_PEER_SPINE2_Ethernet103/1 = 'up',PASS,
119,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet104/1 - MLAG_PEER_SPINE2_Ethernet104/1 = 'up',PASS,
120,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - LEAF2_Ethernet49 = 'up',PASS,
121,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - LEAF3_Ethernet49 = 'up',PASS,
122,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - LEAF4_Ethernet49 = 'up',PASS,
123,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
124,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback88 = 'up',PASS,
125,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1 - POD1_Po49 = 'up',PASS,
126,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1031 - MLAG_PEER_SPINE2_Po1031 = 'up',PASS,
127,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel3 - POD2_Po49 = 'up',PASS,
128,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan10 - Ten = 'up',PASS,
129,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan20 - Twenty = 'up',PASS,
130,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan255 - Inband Management = 'up',PASS,
131,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan30 - Thirty = 'up',PASS,
132,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4093 - MLAG_PEER_L3_PEERING = 'up',PASS,
133,SPINE1,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',PASS,
134,SPINE1,Interfaces,VerifyLoopbackCount,Verifies the number of loopback interfaces and their status.,,PASS,
135,SPINE1,MLAG,VerifyMlagConfigSanity,Verifies there are no MLAG config-sanity inconsistencies.,,PASS,
136,SPINE1,MLAG,VerifyMlagInterfaces,Verifies there are no inactive or active-partial MLAG ports.,,PASS,
137,SPINE1,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
138,SPINE1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,PASS,
139,SPINE1,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,PASS,
140,SPINE1,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,PASS,
141,SPINE1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
142,SPINE2,Configuration,VerifyRunningConfigDiffs,Verifies there is no difference between the running-config and the startup-config,,PASS,
143,SPINE2,Configuration,VerifyZeroTouch,Verifies ZeroTouch is disabled,,PASS,
144,SPINE2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: LEAF1 Ethernet50,PASS,
145,SPINE2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet103/1 - Remote: SPINE1 Ethernet103/1,PASS,
146,SPINE2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet104/1 - Remote: SPINE1 Ethernet104/1,PASS,
147,SPINE2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: LEAF2 Ethernet50,PASS,
148,SPINE2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: LEAF3 Ethernet50,PASS,
149,SPINE2,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet4 - Remote: LEAF4 Ethernet50,PASS,
150,SPINE2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
151,SPINE2,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
152,SPINE2,Hardware,VerifyTemperature,Verifies the device temperature.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
153,SPINE2,Hardware,VerifyTransceiversManufacturers,Verifies if all transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
154,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet1 - LEAF1_Ethernet50 = 'up',PASS,
155,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet103/1 - MLAG_PEER_SPINE1_Ethernet103/1 = 'up',PASS,
156,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet104/1 - MLAG_PEER_SPINE1_Ethernet104/1 = 'up',PASS,
157,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet2 - LEAF2_Ethernet50 = 'up',PASS,
158,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet3 - LEAF3_Ethernet50 = 'up',PASS,
159,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Ethernet4 - LEAF4_Ethernet50 = 'up',PASS,
160,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback0 - Router_ID = 'up',PASS,
161,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Loopback88 = 'up',PASS,
162,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1 - POD1_Po49 = 'up',PASS,
163,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel1031 - MLAG_PEER_SPINE1_Po1031 = 'up',PASS,
164,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Port-Channel3 - POD2_Po49 = 'up',PASS,
165,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan10 - Ten = 'up',PASS,
166,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan20 - Twenty = 'up',PASS,
167,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan255 - Inband Management = 'up',PASS,
168,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan30 - Thirty = 'up',PASS,
169,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4093 - MLAG_PEER_L3_PEERING = 'up',PASS,
170,SPINE2,Interfaces,VerifyInterfacesStatus,Verifies the status of the provided interfaces.,Interface Vlan4094 - MLAG_PEER = 'up',PASS,
171,SPINE2,Interfaces,VerifyLoopbackCount,Verifies the number of loopback interfaces and their status.,,PASS,
172,SPINE2,MLAG,VerifyMlagConfigSanity,Verifies there are no MLAG config-sanity inconsistencies.,,PASS,
173,SPINE2,MLAG,VerifyMlagInterfaces,Verifies there are no inactive or active-partial MLAG ports.,,PASS,
174,SPINE2,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
175,SPINE2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,,PASS,
176,SPINE2,Software,VerifyEOSVersion,Verifies the EOS version of the device.,,PASS,
177,SPINE2,Software,VerifyTerminAttrVersion,Verifies the TerminAttr version of the device.,,PASS,
178,SPINE2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
